iter	Passed	Remaining
0	2	2271
1	4	2090
2	6	2086
3	8	2137
4	12	2520
5	16	2712
6	37	5260
7	40	5054
8	42	4726
9	44	4406
10	46	4163
11	48	3970
12	51	3916
13	54	3854
14	60	3992
15	62	3873
16	65	3784
17	83	4563
18	87	4511
19	90	4441
20	92	4312
21	94	4191
22	97	4136
23	99	4064
24	101	3968
25	104	3909
26	106	3827
27	107	3746
28	109	3660
29	111	3589
30	113	3535
31	132	4013
32	136	3990
33	138	3940
34	142	3929
35	146	3933
36	149	3882
37	151	3835
38	153	3781
39	155	3732
40	157	3687
41	160	3653
42	182	4061
43	185	4027
44	189	4012
45	191	3965
46	197	4014
47	200	3977
48	204	3968
49	207	3937
50	209	3897
51	224	4089
52	227	4065
53	229	4022
54	231	3984
55	233	3939
56	235	3897
57	237	3850
58	239	3812
59	240	3771
60	242	3738
61	244	3701
62	246	3668
63	248	3635
64	250	3602
65	251	3565
66	253	3529
67	254	3492
68	255	3453
69	258	3429
70	260	3409
71	263	3391
72	265	3373
73	267	3347
74	269	3325
75	271	3297
76	273	3275
77	276	3263
78	278	3242
79	279	3217
80	281	3191
81	282	3164
82	284	3143
83	286	3119
84	287	3093
85	288	3069
86	291	3054
87	292	3034
88	294	3009
89	295	2988
90	297	2967
91	298	2945
92	300	2929
93	301	2908
94	303	2888
95	304	2869
96	306	2854
97	309	2845
98	311	2831
99	312	2816
100	314	2800
101	316	2788
102	318	2773
103	320	2760
104	323	2761
105	326	2750
106	327	2733
107	329	2723
108	331	2711
109	333	2701
110	335	2690
111	337	2679
112	340	2670
113	341	2657
114	343	2641
115	345	2630
116	346	2618
117	348	2602
118	349	2589
119	351	2576
120	353	2567
121	360	2594
122	363	2590
123	368	2601
124	372	2605
125	373	2592
126	375	2579
127	376	2568
128	378	2556
129	380	2544
130	381	2531
131	382	2516
132	384	2506
133	386	2499
134	388	2489
135	390	2477
136	391	2464
137	392	2453
138	394	2444
139	396	2432
140	397	2420
141	398	2409
142	400	2400
143	405	2408
144	414	2443
145	419	2451
146	420	2442
147	422	2430
148	423	2420
149	425	2412
150	427	2402
151	428	2391
152	430	2381
153	431	2371
154	433	2364
155	435	2357
156	437	2347
157	438	2337
158	439	2326
159	441	2318
160	443	2309
161	444	2299
162	445	2289
163	446	2278
164	448	2271
165	453	2280
166	455	2274
167	457	2268
168	459	2259
169	461	2251
170	463	2244
171	465	2238
172	467	2233
173	468	2223
174	469	2215
175	471	2206
176	473	2200
177	475	2193
178	476	2187
179	478	2180
180	482	2181
181	484	2178
182	487	2175
183	489	2169
184	491	2164
185	492	2157
186	494	2148
187	495	2140
188	497	2135
189	500	2134
190	502	2129
191	504	2123
192	506	2117
193	508	2111
194	510	2106
195	512	2101
196	514	2098
197	516	2092
198	518	2085
199	519	2078
200	521	2072
201	523	2066
202	524	2059
203	526	2052
204	528	2049
205	530	2044
206	532	2039
207	534	2033
208	535	2027
209	537	2023
210	539	2016
211	540	2009
212	542	2002
213	543	1996
214	546	1993
215	548	1989
216	550	1984
217	552	1981
218	554	1975
219	555	1971
220	557	1966
221	559	1961
222	562	1958
223	563	1952
224	565	1946
225	566	1940
226	567	1933
227	569	1927
228	571	1922
229	572	1917
230	574	1911
231	576	1908
232	578	1903
233	579	1898
234	581	1892
235	582	1885
236	584	1881
237	585	1875
238	587	1870
239	588	1864
240	590	1859
241	592	1854
242	597	1860
243	599	1856
244	601	1853
245	603	1848
246	605	1844
247	607	1840
248	610	1839
249	611	1834
250	613	1829
251	614	1824
252	616	1820
253	617	1814
254	619	1809
255	621	1806
256	623	1802
257	625	1798
258	627	1794
259	628	1788
260	630	1785
261	632	1780
262	634	1777
263	636	1773
264	637	1769
265	642	1773
266	644	1769
267	646	1766
268	648	1763
269	650	1758
270	652	1754
271	654	1750
272	656	1748
273	658	1745
274	660	1741
275	662	1737
276	664	1734
277	666	1730
278	668	1727
279	670	1724
280	673	1722
281	674	1717
282	675	1712
283	677	1707
284	678	1702
285	680	1697
286	681	1692
287	683	1689
288	684	1685
289	687	1682
290	689	1679
291	690	1675
292	692	1671
293	694	1667
294	696	1665
295	698	1661
296	700	1658
297	702	1654
298	704	1652
299	706	1649
300	708	1645
301	710	1642
302	712	1638
303	713	1633
304	715	1631
305	717	1627
306	719	1623
307	720	1619
308	722	1616
309	724	1612
310	726	1608
311	727	1604
312	729	1600
313	730	1596
314	732	1593
315	735	1591
316	737	1589
317	739	1586
318	741	1582
319	743	1578
320	744	1574
321	746	1571
322	748	1567
323	749	1564
324	752	1563
325	754	1559
326	755	1555
327	757	1552
328	759	1549
329	761	1547
330	763	1543
331	766	1541
332	769	1540
333	771	1537
334	773	1535
335	774	1531
336	776	1528
337	778	1524
338	779	1520
339	781	1517
340	785	1517
341	786	1513
342	790	1513
343	794	1515
344	798	1516
345	800	1513
346	802	1509
347	803	1505
348	805	1502
349	807	1499
350	808	1495
351	809	1491
352	811	1487
